d,abs_delta,log10_abs_delta
6.309573445e-05,1.84697838488e-18,-17.7335381871
6.72232306e-05,2.37979381788e-18,-17.623460668
7.162073271e-05,3.06631558953e-18,-17.513383149
7.63059036e-05,3.95088482997e-18,-17.40330563
8.129756153e-05,5.09063417706e-18,-17.2932281111
8.661575578e-05,6.55917786424e-18,-17.1831505922
9.228184718e-05,8.45136632319e-18,-17.0730730735
9.831859391e-05,1.08894123919e-17,-16.9629955548
0.0001047502429,1.40307848082e-17,-16.8529180361
0.0001116026273,1.80783788143e-17,-16.7428405176
0.00011890327,2.32936207727e-17,-16.6327629993
0.0001266814945,3.00133531944e-17,-16.522685481
0.0001349685425,3.8671590752e-17,-16.4126079629
0.0001437976994,4.98275524568e-17,-16.302530445
0.000153204428,6.4201780543e-17,-16.1924529272
0.000163226511,8.27226789105e-17,-16.0823754097
0.0001739042027,1.06586476952e-16,-15.9722978925
0.0001852803905,1.37334491717e-16,-15.8622203755
0.0001974007676,1.76952678616e-16,-15.7521428589
0.0002103140163,2.27999900472e-16,-15.6420653426
0.0002240720033,2.93773199544e-16,-15.5319878267
0.0002387299883,3.78520747145e-16,-15.4219103113
0.000254346846,4.87716224841e-16,-15.3118327965
0.0002709853024,6.28412358983e-16,-15.2017552823
0.0002887121868,8.09696442675e-16,-15.0916777688
0.0003075987003,1.04327726646e-15,-14.981600256
0.0003277207016,1.34424136638e-15,-14.8715227442
0.0003491590119,1.73202743408e-15,-14.7614452333
0.0003719997394,2.231681824e-15,-14.6513677237
0.0003963346252,2.87547624855e-15,-14.5412902153
0.0004222614117,3.70499214479e-15,-14.4312127085
0.0004498842355,4.77380633779e-15,-14.3211352033
0.000479314045,6.15095146209e-15,-14.2110577
0.000510669047,7.92537464281e-15,-14.100980199
0.0005440751804,1.02116824134e-14,-13.9909027004
0.000579666623,1.31575429223e-14,-13.8808252046
0.0006175863299,1.69532235213e-14,-13.770747712
0.0006579866076,2.18438797476e-14,-13.660670223
0.0007010297263,2.8145389419e-14,-13.5505927381
0.0007468885712,3.6264754531e-14,-13.4405152578
0.0007957473368,4.67263886667e-14,-13.3304377829
0.0008478022672,6.02059877665e-14,-13.220360314
0.0009032624441,7.7574171886e-14,-13.1102828519
0.0009623506264,9.99527166621e-14,-13.0002053975
0.001025304145,1.28787006335e-13,-12.8901279519
0.001092375857,1.65939387881e-13,-12.7800505163
0.001163835159,2.13809455756e-13,-12.669973092
0.001239969072,2.754890361e-13,-12.5598956805
0.001321083391,3.54961880404e-13,-12.4498182836
0.001407503918,4.57360966237e-13,-12.3397409033
0.001499577765,5.89300023287e-13,-12.2296635417
0.001597674752,7.5930069689e-13,-12.1195862015
0.001702188891,9.78342938027e-13,-12.0095088855
0.00181353997,1.26057416745e-12,-11.899431597
0.001932175236,1.62422301605e-12,-11.7893543396
0.002058571195,2.09277665599e-12,-11.6792771177
0.002193235523,2.69649776128e-12,-11.5691999359
0.002336709107,3.47437907051e-12,-11.4591227998
0.002489568217,4.47666178689e-12,-11.3490457155
0.002652426821,5.76808046422e-12,-11.2389686899
0.00282593905,7.43204394577e-12,-11.128891731
0.003010801825,9.57602237389e-12,-11.0188148479
0.003207757657,1.23384881767e-11,-10.9087380507
0.003417597633,1.58978592924e-11,-10.7986613512
0.003641164586,2.04840221915e-11,-10.6885847623
0.003879356485,2.63931788518e-11,-10.5785082993
0.004133130041,3.40069764852e-11,-10.4684319789
0.004403504552,4.3817155363e-11,-10.3583558205
0.004691565991,5.64573064e-11,-10.2482798461
0.004998471374,7.27437892207e-11,-10.1382040803
0.005325453405,9.37284528904e-11,-10.0281285515
0.005673825424,1.2076656351e-10,-9.91805329165
0.006044986688,1.5560432462e-10,-9.80797833709
0.006440427989,2.00491641204e-10,-9.69790372905
0.006861737637,2.58327407564e-10,-9.58782951438
0.007310607849,3.32846698692e-10,-9.4777557462
0.007788841536,4.28861949203e-10,-9.36768248485
0.008298359552,5.52573687997e-10,-9.25760979881
0.008841208406,7.11970885058e-10,-9.1475377658
0.009419568479,9.17346748476e-10,-9.03746647405
0.01003576279,1.1819632575e-09,-8.92739602372
0.01069226632,1.52290731073e-09,-8.81732652849
0.01139171595,1.96219372539e-09,-8.70725811739
0.01213692106,2.52818623891e-09,-8.5971909369
0.01293087481,3.25742816192e-09,-8.48712515327
0.01377676616,4.19700073004e-09,-8.37706095525
0.01467799268,5.4075611964e-09,-8.26699855703
0.0156381742,6.96725648094e-09,-8.15693820178
0.01666116734,8.97676455408e-09,-8.0468801655
0.01775108102,1.15657882943e-08,-7.93682476149
0.01891229293,1.49014199679e-08,-7.82677234536
0.02014946716,1.91989147087e-08,-7.71672332074
0.02146757287,2.47355661042e-08,-7.60667814582
0.02287190432,3.18685760925e-08,-7.49663734064
0.02436810209,4.10580675133e-08,-7.38660149549
0.02596217573,5.28967171124e-08,-7.27657128041
0.02766052795,6.81479104612e-08,-7.16654745588
0.02946998026,8.77948649005e-08,-7.05653088513
0.03139780044,1.13103866602e-07,-6.9465225479
0.03345173168,1.45705667138e-07,-6.83652355627
0.03564002373,1.87700239851e-07,-6.72653517242
0.03797146597,2.41791578816e-07,-6.61655882894
0.04045542278,3.11461125192e-07,-6.50659615179
0.04310187113,4.01190844609e-07,-6.39664898637
0.0459214406,5.16750104227e-07,-6.2867194271
0.04892545618,6.65564499366e-07,-6.17680985099
0.05212598366,8.57189898192e-07,-6.06692295567
0.05553587814,1.10392151435e-06,-5.9570618026
0.05916883567,1.42157616755e-06,-5.847229866
0.06303944821,1.83049653696e-06,-5.7374310884
0.06716326232,2.35683976168e-06,-5.62766994356
0.07155684152,3.03422995927e-06,-5.51795150784
0.07623783288,3.90587606566e-06,-5.40828154109
0.08122503787,5.02728402002e-06,-5.2986665783
0.08653848788,6.4697271675e-06,-5.18911403342
0.09219952469,8.32468258324e-06,-5.07963231698
0.09823088618,1.07094959459e-05,-4.97023096923
0.1046567977,1.37746061174e-05,-4.86092081088
0.1115030692,1.77127456545e-05,-4.75171411356
0.1187971992,2.27706384312e-05,-4.64262479269
0.1265684849,2.9263844109e-05,-4.53366862539
0.1348481402,3.75955552573e-05,-4.4248634966
0.1436694209,4.82803403572e-05,-4.31622967696
0.1530677579,6.19740479608e-05,-4.2077901361
0.1630809005,7.95113458114e-05,-4.0995708956
0.1737490668,0.000101952662937,-3.99160142625
0.1851151062,0.000130642627251,-3.88391509443
0.197224671,0.000167282433246,-3.77654966301
0.2101264001,0.000214018909891,-3.66954785236
0.2238721139,0.000273553346926,-3.56295796726
