d,alpha_label,delta_over_d2
0.012,alpha = 1/2,0.00623412125046
0.01708176101,alpha = 1/2,0.00621783171838
0.02216352201,alpha = 1/2,0.00619586015259
0.02724528302,alpha = 1/2,0.00616821622553
0.03232704403,alpha = 1/2,0.00613491210291
0.03740880503,alpha = 1/2,0.00609596243567
0.04249056604,alpha = 1/2,0.00605138435034
0.04757232704,alpha = 1/2,0.00600119743775
0.05265408805,alpha = 1/2,0.00594542374018
0.05773584906,alpha = 1/2,0.00588408773687
0.06281761006,alpha = 1/2,0.00581721632792
0.06789937107,alpha = 1/2,0.00574483881665
0.07298113208,alpha = 1/2,0.00566698689043
0.07806289308,alpha = 1/2,0.00558369459988
0.08314465409,alpha = 1/2,0.00549499833666
0.08822641509,alpha = 1/2,0.00540093680963
0.0933081761,alpha = 1/2,0.00530155101969
0.09838993711,alpha = 1/2,0.00519688423298
0.1034716981,alpha = 1/2,0.00508698195281
0.1085534591,alpha = 1/2,0.00497189189008
0.1136352201,alpha = 1/2,0.00485166393237
0.1187169811,alpha = 1/2,0.00472635011164
0.1237987421,alpha = 1/2,0.00459600457062
0.1288805031,alpha = 1/2,0.00446068352793
0.1339622642,alpha = 1/2,0.00432044524193
0.1390440252,alpha = 1/2,0.00417534997327
0.1441257862,alpha = 1/2,0.00402545994633
0.1492075472,alpha = 1/2,0.00387083930949
0.1542893082,alpha = 1/2,0.00371155409419
0.1593710692,alpha = 1/2,0.00354767217301
0.1644528302,alpha = 1/2,0.00337926321658
0.1695345912,alpha = 1/2,0.00320639864958
0.1746163522,alpha = 1/2,0.00302915160569
0.1796981132,alpha = 1/2,0.00284759688163
0.1847798742,alpha = 1/2,0.00266181089026
0.1898616352,alpha = 1/2,0.00247187161292
0.1949433962,alpha = 1/2,0.00227785855081
0.2000251572,alpha = 1/2,0.00207985267572
0.2051069182,alpha = 1/2,0.00187793637997
0.2101886792,alpha = 1/2,0.00167219342565
0.2152704403,alpha = 1/2,0.00146270889324
0.2203522013,alpha = 1/2,0.00124956912959
0.2254339623,alpha = 1/2,0.0010328616954
0.2305157233,alpha = 1/2,0.00081267531214
0.2355974843,alpha = 1/2,0.000589099808475
0.2406792453,alpha = 1/2,0.000362226066329
0.2457610063,alpha = 1/2,0.000132145966518
0.2508427673,alpha = 1/2,-0.000101047665939
0.2559245283,alpha = 1/2,-0.000337261116803
0.2610062893,alpha = 1/2,-0.000576399837843
0.2660880503,alpha = 1/2,-0.000818368502274
0.2711698113,alpha = 1/2,-0.00106307106035
0.2762515723,alpha = 1/2,-0.00131041079505
0.2813333333,alpha = 1/2,-0.00156029037788
0.2864150943,alpha = 1/2,-0.00181261192468
0.2914968553,alpha = 1/2,-0.00206727705137
0.2965786164,alpha = 1/2,-0.00232418692969
0.3016603774,alpha = 1/2,-0.00258324234282
0.3067421384,alpha = 1/2,-0.00284434374086
0.3118238994,alpha = 1/2,-0.00310739129607
0.3169056604,alpha = 1/2,-0.00337228495797
0.3219874214,alpha = 1/2,-0.00363892450807
0.3270691824,alpha = 1/2,-0.00390720961436
0.3321509434,alpha = 1/2,-0.00417703988541
0.3372327044,alpha = 1/2,-0.00444831492408
0.3423144654,alpha = 1/2,-0.00472093438084
0.3473962264,alpha = 1/2,-0.00499479800654
0.3524779874,alpha = 1/2,-0.00526980570477
0.3575597484,alpha = 1/2,-0.00554585758358
0.3626415094,alpha = 1/2,-0.00582285400675
0.3677232704,alpha = 1/2,-0.00610069564428
0.3728050314,alpha = 1/2,-0.0063792835224
0.3778867925,alpha = 1/2,-0.0066585190728
0.3829685535,alpha = 1/2,-0.00693830418118
0.3880503145,alpha = 1/2,-0.00721854123504
0.3931320755,alpha = 1/2,-0.00749913317076
0.3982138365,alpha = 1/2,-0.00777998351979
0.4032955975,alpha = 1/2,-0.00806099645409
0.4083773585,alpha = 1/2,-0.00834207683067
0.4134591195,alpha = 1/2,-0.00862313023526
0.4185408805,alpha = 1/2,-0.0089040630251
0.4236226415,alpha = 1/2,-0.00918478237077
0.4287044025,alpha = 1/2,-0.00946519629705
0.4337861635,alpha = 1/2,-0.00974521372289
0.4388679245,alpha = 1/2,-0.0100247445003
0.4439496855,alpha = 1/2,-0.0103036994523
0.4490314465,alpha = 1/2,-0.0105819904097
0.4541132075,alpha = 1/2,-0.0108595302471
0.4591949686,alpha = 1/2,-0.0111362329176
0.4642767296,alpha = 1/2,-0.0114120134864
0.4693584906,alpha = 1/2,-0.0116867881635
0.4744402516,alpha = 1/2,-0.0119604743353
0.4795220126,alpha = 1/2,-0.0122329905948
0.4846037736,alpha = 1/2,-0.012504256771
0.4896855346,alpha = 1/2,-0.012774193957
0.4947672956,alpha = 1/2,-0.0130427245372
0.4998490566,alpha = 1/2,-0.0133097722127
0.5049308176,alpha = 1/2,-0.0135752620266
0.5100125786,alpha = 1/2,-0.0138391203869
0.5150943396,alpha = 1/2,-0.0141012750895
0.5201761006,alpha = 1/2,-0.0143616553392
0.5252578616,alpha = 1/2,-0.0146201917697
0.5303396226,alpha = 1/2,-0.0148768164624
0.5354213836,alpha = 1/2,-0.0151314629647
0.5405031447,alpha = 1/2,-0.015384066306
0.5455849057,alpha = 1/2,-0.0156345630134
0.5506666667,alpha = 1/2,-0.0158828911263
0.5557484277,alpha = 1/2,-0.0161289902088
0.5608301887,alpha = 1/2,-0.0163728013625
0.5659119497,alpha = 1/2,-0.0166142672371
0.5709937107,alpha = 1/2,-0.0168533320398
0.5760754717,alpha = 1/2,-0.0170899415448
0.5811572327,alpha = 1/2,-0.0173240431
0.5862389937,alpha = 1/2,-0.0175555856338
0.5913207547,alpha = 1/2,-0.0177845196607
0.5964025157,alpha = 1/2,-0.0180107972852
0.6014842767,alpha = 1/2,-0.0182343722055
0.6065660377,alpha = 1/2,-0.0184551997153
0.6116477987,alpha = 1/2,-0.0186732367051
0.6167295597,alpha = 1/2,-0.0188884416626
0.6218113208,alpha = 1/2,-0.0191007746716
0.6268930818,alpha = 1/2,-0.0193101974104
0.6319748428,alpha = 1/2,-0.0195166731488
