alpha,d,delta_over_d2
0.32,0.025,0.00890954488533
0.32,0.094130435,0.00818169117952
0.32,0.16326087,0.00666907716994
0.32,0.2323913,0.00449611381426
0.32,0.30152174,0.00183470515865
0.32,0.37065217,-0.00111645132604
0.32,0.43978261,-0.00415403269214
0.32,0.50891304,-0.00709032087913
0.32,0.57804348,-0.00976885454406
0.32,0.64717391,-0.0120740312142
0.32,0.71630435,-0.0139344366687
0.32,0.78543478,-0.0153207195958
0.38,0.025,0.00852049584362
0.38,0.094130435,0.00772140599605
0.38,0.16326087,0.00605969339697
0.38,0.2323913,0.00366998729251
0.38,0.30152174,0.000738878219217
0.38,0.37065217,-0.0025170180796
0.38,0.43978261,-0.00587476321506
0.38,0.50891304,-0.00912700569528
0.38,0.57804348,-0.0120992613738
0.38,0.64717391,-0.0146608920952
0.38,0.71630435,-0.0167293951163
0.38,0.78543478,-0.0182687302903
0.44,0.025,0.00759823634638
0.44,0.094130435,0.00674354245839
0.44,0.16326087,0.00496511567152
0.44,0.2323913,0.00240494315535
0.44,0.30152174,-0.00073959259162
0.44,0.37065217,-0.00423835883283
0.44,0.43978261,-0.00785316130557
0.44,0.50891304,-0.0113608563711
0.44,0.57804348,-0.0145719233017
0.44,0.64717391,-0.0173426541518
0.44,0.71630435,-0.0195804040515
0.44,0.78543478,-0.0212425032149
0.5,0.025,0.00618112891546
0.5,0.094130435,0.00528497226954
0.5,0.16326087,0.00341916729662
0.5,0.2323913,0.000730547646316
0.5,0.30152174,-0.00257614731376
0.5,0.37065217,-0.00626117666907
0.5,0.43978261,-0.0100749996579
0.5,0.50891304,-0.0137821716086
0.5,0.57804348,-0.0171809021254
0.5,0.64717391,-0.0201162932755
0.5,0.71630435,-0.0224865308786
0.5,0.78543478,-0.0242424794622
0.56,0.025,0.00430394323465
0.56,0.094130435,0.00337916014073
0.56,0.16326087,0.0014526380265
0.56,0.2323913,-0.00132616082261
0.56,0.30152174,-0.00474818524904
0.56,0.37065217,-0.00856757146058
0.56,0.43978261,-0.0125269472966
0.56,0.50891304,-0.0163817432707
0.56,0.57804348,-0.019920459913
0.56,0.64717391,-0.0229787971662
0.56,0.71630435,-0.025446752507
0.56,0.78543478,-0.0272689698274
0.62,0.025,0.00199826702296
0.62,0.094130435,0.00105654686251
0.62,0.16326087,-0.000906387733603
0.62,0.2323913,-0.00374041542095
0.62,0.30152174,-0.00723488576824
0.62,0.37065217,-0.0111409318379
0.62,0.43978261,-0.0151965190331
0.62,0.50891304,-0.0191508460826
0.62,0.57804348,-0.0227850720534
0.62,0.64717391,-0.0259271879053
0.62,0.71630435,-0.0284599779299
0.62,0.78543478,-0.0303221721288
0.68,0.025,-0.000707138201278
0.68,0.094130435,-0.00165511796872
0.68,0.16326087,-0.00363224382783
0.68,0.2323913,-0.00648949400036
0.68,0.30152174,-0.0100170464808
0.68,0.37065217,-0.0139658342267
0.68,0.43978261,-0.0180720245584
0.68,0.50891304,-0.0220812227022
0.68,0.57804348,-0.0257694341644
0.68,0.64717391,-0.0289585388362
0.68,0.71630435,-0.0315250666372
0.68,0.78543478,-0.0334021862396
0.74,0.025,-0.00378602803268
0.74,0.094130435,-0.00473048604574
0.74,0.16326087,-0.00670143056515
0.74,0.2323913,-0.00955251790583
0.74,0.30152174,-0.0130769372159
0.74,0.37065217,-0.0170279490655
0.74,0.43978261,-0.0211425183416
0.74,0.50891304,-0.0251650657757
0.74,0.57804348,-0.0288684644463
0.74,0.64717391,-0.032069987008
0.74,0.71630435,-0.0346408436732
0.74,0.78543478,-0.0365090271983
0.8,0.025,-0.00721440577731
0.8,0.094130435,-0.00814635699701
0.8,0.16326087,-0.0100923933593
0.8,0.2323913,-0.0129102733218
0.8,0.30152174,-0.0163981683266
0.8,0.37065217,-0.0203139540862
0.8,0.43978261,-0.0243977511109
0.8,0.50891304,-0.0283949981635
0.8,0.57804348,-0.0320773026778
0.8,0.64717391,-0.0352587421546
0.8,0.71630435,-0.0378061119692
0.8,0.78543478,-0.0396426366846
0.86,0.025,-0.0109702869185
0.86,0.094130435,-0.0118814563379
0.86,0.16326087,-0.0137853276483
