kind	split	seed	injected	potential_ok	path_count	incumbent	pruneable	false_prunes	cycle_profit	grid_count	grid_violations	max_error
graph	discovery	1	false	true	10	180	6	0	-45	NA	NA	NA
graph	discovery	2	false	true	10	176	0	0	-55	NA	NA	NA
graph	discovery	3	false	true	10	180	3	0	-55	NA	NA	NA
graph	discovery	4	false	true	10	180	9	0	-45	NA	NA	NA
graph	discovery	5	false	true	10	180	3	0	-26	NA	NA	NA
graph	discovery	6	false	true	10	178	3	0	-35	NA	NA	NA
graph	discovery	7	false	true	10	178	6	0	-35	NA	NA	NA
graph	discovery	8	false	true	10	180	6	0	-25	NA	NA	NA
graph	discovery	9	false	true	10	178	9	0	-55	NA	NA	NA
graph	discovery	10	false	true	10	180	6	0	-25	NA	NA	NA
graph	discovery	11	false	true	10	180	6	0	-36	NA	NA	NA
graph	discovery	12	false	true	10	176	0	0	-45	NA	NA	NA
graph	discovery	13	false	true	10	176	0	0	-25	NA	NA	NA
graph	discovery	14	false	true	10	178	6	0	-55	NA	NA	NA
graph	discovery	15	false	true	10	180	9	0	-35	NA	NA	NA
graph	discovery	16	false	true	10	180	6	0	-45	NA	NA	NA
graph	discovery	17	false	true	10	178	0	0	-35	NA	NA	NA
graph	discovery	18	false	true	10	180	9	0	-45	NA	NA	NA
graph	discovery	19	false	true	10	178	3	0	-25	NA	NA	NA
graph	discovery	20	false	true	10	178	0	0	-45	NA	NA	NA
graph	discovery	21	false	true	10	176	0	0	-35	NA	NA	NA
graph	discovery	22	false	true	10	180	6	0	-26	NA	NA	NA
graph	discovery	23	false	true	10	178	6	0	-55	NA	NA	NA
graph	discovery	24	false	true	10	180	6	0	-55	NA	NA	NA
graph	discovery	25	false	true	10	180	6	0	-25	NA	NA	NA
graph	discovery	26	false	true	10	178	6	0	-26	NA	NA	NA
graph	discovery	27	false	true	10	178	3	0	-25	NA	NA	NA
graph	discovery	28	false	true	10	176	0	0	-36	NA	NA	NA
graph	discovery	29	false	true	10	176	0	0	-36	NA	NA	NA
graph	discovery	30	false	true	10	176	0	0	-25	NA	NA	NA
graph	discovery	31	false	true	10	180	9	0	-35	NA	NA	NA
graph	discovery	32	false	true	10	176	0	0	-36	NA	NA	NA
graph	discovery	33	false	true	10	176	0	0	-36	NA	NA	NA
graph	discovery	34	false	true	10	176	0	0	-35	NA	NA	NA
graph	discovery	35	false	true	10	180	9	0	-25	NA	NA	NA
graph	discovery	36	false	true	10	176	0	0	-35	NA	NA	NA
graph	discovery	37	false	true	10	180	6	0	-36	NA	NA	NA
graph	discovery	38	false	true	10	178	6	0	-35	NA	NA	NA
graph	discovery	39	false	true	10	180	3	0	-45	NA	NA	NA
graph	discovery	40	false	true	10	176	0	0	-45	NA	NA	NA
graph	discovery	41	false	true	10	176	0	0	-55	NA	NA	NA
graph	discovery	42	false	true	10	180	6	0	-55	NA	NA	NA
graph	discovery	43	false	true	10	176	0	0	-16	NA	NA	NA
graph	discovery	44	false	true	10	178	6	0	-55	NA	NA	NA
graph	discovery	45	false	true	10	178	3	0	-35	NA	NA	NA
graph	discovery	46	false	true	10	178	3	0	-35	NA	NA	NA
graph	discovery	47	false	true	10	176	0	0	-35	NA	NA	NA
graph	discovery	48	false	true	10	180	6	0	-35	NA	NA	NA
graph	discovery	49	false	true	10	180	9	0	-45	NA	NA	NA
graph	discovery	50	false	true	10	176	0	0	-26	NA	NA	NA
graph	discovery	51	false	true	10	176	0	0	-45	NA	NA	NA
graph	discovery	52	false	true	10	180	6	0	-25	NA	NA	NA
graph	discovery	53	false	true	10	176	0	0	-25	NA	NA	NA
graph	discovery	54	false	true	10	180	0	0	-26	NA	NA	NA
graph	discovery	55	false	true	10	178	3	0	-16	NA	NA	NA
graph	discovery	56	false	true	10	176	0	0	-25	NA	NA	NA
graph	discovery	57	false	true	10	176	0	0	-55	NA	NA	NA
graph	discovery	58	false	true	10	176	0	0	-26	NA	NA	NA
graph	discovery	59	false	true	10	180	6	0	-45	NA	NA	NA
graph	discovery	60	false	true	10	180	9	0	-45	NA	NA	NA
graph	discovery	61	false	true	10	176	0	0	-35	NA	NA	NA
graph	discovery	62	false	true	10	180	3	0	-16	NA	NA	NA
graph	discovery	63	false	true	10	176	0	0	-55	NA	NA	NA
graph	discovery	64	false	true	10	178	6	0	-55	NA	NA	NA
graph	discovery	65	false	true	10	178	3	0	-35	NA	NA	NA
graph	discovery	66	false	true	10	178	3	0	-36	NA	NA	NA
graph	discovery	67	false	true	10	176	0	0	-35	NA	NA	NA
graph	discovery	68	false	true	10	176	0	0	-45	NA	NA	NA
graph	discovery	69	false	true	10	176	0	0	-16	NA	NA	NA
graph	discovery	70	false	true	10	176	0	0	-26	NA	NA	NA
graph	discovery	71	false	true	10	180	6	0	-35	NA	NA	NA
graph	discovery	72	false	true	10	176	0	0	-55	NA	NA	NA
graph	discovery	73	false	true	10	180	3	0	-45	NA	NA	NA
graph	discovery	74	false	true	10	178	9	0	-45	NA	NA	NA
graph	discovery	75	false	true	10	176	0	0	-55	NA	NA	NA
graph	discovery	76	false	true	10	176	0	0	-45	NA	NA	NA
graph	discovery	77	false	true	10	178	6	0	-35	NA	NA	NA
graph	discovery	78	false	true	10	178	3	0	-45	NA	NA	NA
graph	discovery	79	false	true	10	180	3	0	-26	NA	NA	NA
graph	discovery	80	false	true	10	176	0	0	-26	NA	NA	NA
graph	holdout	81	false	true	10	180	6	0	-45	NA	NA	NA
graph	holdout	82	false	true	10	178	6	0	-35	NA	NA	NA
graph	holdout	83	false	true	10	178	0	0	-16	NA	NA	NA
graph	holdout	84	false	true	10	178	6	0	-35	NA	NA	NA
graph	holdout	85	false	true	10	180	9	0	-35	NA	NA	NA
graph	holdout	86	false	true	10	176	0	0	-45	NA	NA	NA
graph	holdout	87	false	true	10	180	6	0	-35	NA	NA	NA
graph	holdout	88	false	true	10	180	9	0	-35	NA	NA	NA
graph	holdout	89	false	true	10	180	3	0	-16	NA	NA	NA
graph	holdout	90	false	true	10	176	0	0	-36	NA	NA	NA
graph	holdout	91	false	true	10	176	0	0	-35	NA	NA	NA
graph	holdout	92	false	true	10	178	6	0	-45	NA	NA	NA
graph	holdout	93	false	true	10	178	3	0	-16	NA	NA	NA
graph	holdout	94	false	true	10	180	9	0	-45	NA	NA	NA
graph	holdout	95	false	true	10	176	0	0	-45	NA	NA	NA
graph	holdout	96	false	true	10	180	9	0	-45	NA	NA	NA
graph	holdout	97	false	true	10	176	0	0	-35	NA	NA	NA
